base_model_name,num_layers,val_acc,val_loss,tn,fp,fn,tp,recall,precision,specificity
vgg16,3,0.733333349,14.19663715,33,27,5,55,0.916666667,0.670731707,0.55
vgg16,3,0.783333361,11.0112505,42,18,8,52,0.866666667,0.742857143,0.7
ensemble_models,5,0.854166667,-,493,107,68,532,0.886666667,0.832550861,0.821666667
resnet50,5,0.716666639,1.468706608,52,8,26,34,0.566666667,0.80952381,0.866666667
,,,,,,,,,,
vgg19,5,0.832499981,0.700887382,494,106,95,505,0.841666667,0.826513912,0.823333333
resnet50,5,0.857500017,0.542804897,513,87,84,516,0.86,0.855721393,0.855
ensemble_models,15,0.8658333333333333,-,505,95,66,534,0.89,0.848966613672496,0.8416666666666667
ensemble_models,9,0.8616666666666667,-,497,103,63,537,0.895,0.8390625,0.8283333333333334
ensemble_models,3,0.8766666666666667,-,509,91,57,543,0.905,0.8564668769716088,0.8483333333333334
ensemble_models,2,0.8758333333333334,-,520,80,69,531,0.885,0.8690671031096563,0.8666666666666667
