base_model_name,num_layers,val_acc,val_loss,tn0,fp0,fn0,tp0,recall0,precision0,specificity0,tn1,fp1,fn1,tp1,recall1,precision1,specificity1,tn2,fp2,fn2,tp2,recall2,precision2,specificity2
vgg16,3,0.695564508,20.99294281,366,30,36,64,0.64,0.680851064,0.924242424,248,51,67,130,0.659898477,0.718232044,0.829431438,227,70,48,151,0.75879397,0.683257919,0.764309764
vgg16,5,0.399193555,1.097486615,396,0,100,0,0,,1,1,298,0,197,1,0.397979798,0.003344482,297,0,198,1,0.005025126,1,1
vgg19,5,0.199596778,1.099250197,0,397,0,99,1,0.199596774,0,297,0,199,0,0,,1,298,0,198,0,0,,1
resnet50,5,0.399193555,1.098419666,398,0,98,0,0,,1,0,298,0,198,1,0.399193548,0,296,0,200,0,0,,1
random_flip,7,0.600806475,0.781292439,339,58,17,82,0.828282828,0.585714286,0.853904282,252,46,141,57,0.287878788,0.553398058,0.845637584,203,94,40,159,0.798994975,0.628458498,0.683501684
random_flip_1,7,0.201612905,1.099532485,0,396,0,100,1,0.201612903,0,298,0,198,0,0,,1,298,0,198,0,0,,1
random_flip_2,7,0.399193555,1.097912192,397,0,99,0,0,,1,297,0,199,0,0,,1,0,298,0,198,1,0.399193548,0
random_flip_4,7,0.401209682,1.098413348,398,0,98,0,0,,1,297,0,199,0,0,,1,0,297,0,199,1,0.401209677,0
random_rotation_7,10,0.401209682,1.098165274,397,0,99,0,0,,1,0,297,0,199,1,0.401209677,0,298,0,198,0,0,,1
random_zoom_3,9,0.399193555,1.099035978,397,0,99,0,0,,1,0,298,0,198,1,0.399193548,0,297,0,199,0,0,,1
random_zoom_5,10,0.397177428,1.09813714,396,0,100,0,0,,1,0,299,0,197,1,0.397177419,0,297,0,199,0,0,,1
random_zoom_6,10,0.399193555,1.094404697,397,0,99,0,0,,1,0,298,0,198,1,0.399193548,0,297,0,199,0,0,,1
random_zoom_7,10,0.19758065,1.105315804,0,398,0,98,1,0.197580645,0,298,0,198,0,0,,1,296,0,200,0,0,,1
random_rotation_14,10,0.401209682,1.085492134,397,0,99,0,0,,1,298,0,198,0,0,,1,0,297,0,199,1,0.401209677,0
random_flip_15,9,0.401209682,1.109102726,397,0,99,0,0,,1,0,297,0,199,1,0.401209677,0,298,0,198,0,0,,1
random_flip_16,7,0.401209682,1.080042005,397,0,99,0,0,,1,0,297,0,199,1,0.401209677,0,298,0,198,0,0,,1
resnet50,7,0.655241907,0.804665625,371,25,31,69,0.69,0.734042553,0.936868687,212,86,74,124,0.626262626,0.59047619,0.711409396,238,60,66,132,0.666666667,0.6875,0.798657718
resnet50,7,0.530241907,1.006349325,321,75,19,81,0.81,0.519230769,0.810606061,282,17,182,15,0.076142132,0.46875,0.943143813,156,141,32,167,0.83919598,0.542207792,0.525252525
resnet50,5,0.401209682,1.098490596,399,0,97,0,0,,1,0,297,0,199,1,0.401209677,0,296,0,200,0,0,,1
random_flip,7,0.199596778,1.157837629,0,397,0,99,1,0.199596774,0,297,0,199,0,0,,1,298,0,198,0,0,,1
resnet50,6,0.72177422,2.869695663,363,34,19,80,0.808080808,0.701754386,0.914357683,285,12,100,99,0.497487437,0.891891892,0.95959596,206,92,19,179,0.904040404,0.660516605,0.691275168
vgg16_hairRemoval,8,0.681451619,0.91533494,381,15,45,55,0.55,0.785714286,0.962121212,204,93,50,149,0.748743719,0.615702479,0.686868687,249,50,63,134,0.680203046,0.72826087,0.83277592
ensemble_models,3,0.21485943775100402,-,0,0,391,107,0.21485943775100402,1.0,,289,209,0,0,,0.0,0.5803212851405622,316,182,0,0,,0.0,0.6345381526104418
ensemble_models,2,0.21,-,0,0,395,105,0.21,1.0,,311,189,0,0,,0.0,0.622,294,206,0,0,,0.0,0.588
ensemble_models,2,0.20883534136546184,-,0,0,394,104,0.20883534136546184,1.0,,309,189,0,0,,0.0,0.6204819277108434,293,205,0,0,,0.0,0.5883534136546185
ensemble_models,3,0.21774193548387097,-,0,0,388,108,0.21774193548387097,1.0,,289,207,0,0,,0.0,0.5826612903225806,315,181,0,0,,0.0,0.6350806451612904
ensemble_models,2,0.20967741935483872,-,0,0,392,104,0.20967741935483872,1.0,,309,187,0,0,,0.0,0.6229838709677419,291,205,0,0,,0.0,0.5866935483870968
ensemble_models,1,0.19556451612903225,-,0,0,399,97,0.19556451612903225,1.0,,285,211,0,0,,0.0,0.5745967741935484,308,188,0,0,,0.0,0.6209677419354839
ensemble_models,1,0.7730923694779116,-,379,19,21,79,0.79,0.8061224489795918,0.9522613065326633,245,55,43,155,0.7828282828282829,0.7380952380952381,0.8166666666666667,259,39,49,151,0.755,0.7947368421052632,0.8691275167785235
ensemble_models,1,0.774,-,381,19,21,79,0.79,0.8061224489795918,0.9525,245,55,43,157,0.785,0.7405660377358491,0.8166666666666667,261,39,49,151,0.755,0.7947368421052632,0.87
ensemble_models,2,0.774,-,375,25,20,80,0.8,0.7619047619047619,0.9375,258,42,53,147,0.735,0.7777777777777778,0.86,254,46,40,160,0.8,0.7766990291262136,0.8466666666666667
